"id","Survey","Race","Gender","Education","Age_Group","Region","quota_cohort","LikelyVote","PartyAffiliate","survey_weight","Question1_Version","Experiment1_Question","Question2_Version","Experiment2_Question","EconomicConditions","EconomicExpect","CoronaWorry","CoronaChange","CoronaWork"
1398,"Coronavirus Survey","Other","Female","Some College or Associate","18-34","South","South::18-34::Female","Definitely will vote","Independent or another party",1.05982822365216,"Version A","100","Version A","A","Only Fair","Get worse","Somewhat worried","Yes, changing routines or plans","Not changed"
1399,"Coronavirus Survey","Other","Male","HS or Less","65+","Northeast","Northeast::65+::Male","Definitely will vote","Democratic Party",1.01097898031522,"Version A","100","Version B","B","Good","Improve","Not worried at all","Yes, changing routines or plans","Laid off"
1400,"Coronavirus Survey","White","Female","Post-Grad","45-64","South","South::45-64::Female","Definitely will vote","Democratic Party",0.76246819078539,"Version B","1000","Version A","C","Poor","Get worse","Very worried","Yes, changing routines or plans","Working from home"
1401,"Coronavirus Survey","Other","Female","College Grad","35-44","Midwest","Midwest::35-44::Female","Definitely will vote","Independent or another party",0.724719436571969,"Version A","100","Version A","A","Poor","Get worse","Very worried","Yes, changing routines or plans","Working from home"
1402,"Political Survey","Other","Female","College Grad","35-44","West","West::35-44::Female","Likely will not vote","Democratic Party",0.762963776009598,"Version A","100","Version A","A","Poor","Get worse",NA,NA,NA
1403,"Political Survey","Other","Female","HS or Less","45-64","West","West::45-64::Female","Definitely will vote","Republican Party",1.25942894114873,"Version A","100","Version A","B","Poor","Get worse",NA,NA,NA
1404,"Political Survey","White","Male","Some College or Associate","45-64","South","South::45-64::Male","Definitely will vote","Republican Party",0.933738513078202,"Version A","100","Version A","A","Good","Improve",NA,NA,NA
1405,"Political Survey","Other","Female","College Grad","18-34","West","West::18-34::Female","Definitely will vote","Democratic Party",0.783374366228407,"Version B","10000000000","Version A","A","Only Fair","Get worse",NA,NA,NA
1406,"Coronavirus Survey","White","Male","Post-Grad","45-64","Midwest","Midwest::45-64::Male","Definitely will vote","Republican Party",0.908254430977968,"Version B","10000","Version B","C","(Vol. DK/Refuse)","Improve","Very worried","Yes, changing routines or plans","Working from home"
1407,"Coronavirus Survey","White","Male","Post-Grad","65+","West","West::65+::Male","Definitely will vote","Republican Party",1.15005851916716,"Version A","100","Version B","C","Poor","Get worse","Somewhat worried","Yes, changing routines or plans","Not changed"
1408,"Political Survey","White","Female","Some College or Associate","45-64","Northeast","Northeast::45-64::Female","Definitely will vote","Democratic Party",0.661788843988599,"Version A","100","Version A","C","Poor","Get worse",NA,NA,NA
1409,"Coronavirus Survey","White","Female","College Grad","45-64","West","West::45-64::Female","Definitely will vote","Democratic Party",0.637996624777291,"Version B","100","Version B","B","Poor","Get worse","Somewhat worried","Yes, changing routines or plans","Working from home"
1410,"Political Survey","White","Male","HS or Less","45-64","South","South::45-64::Male","Definitely will vote","Democratic Party",1.16207996772435,"Version A","100","Version B","C","Poor","Get worse",NA,NA,NA
1411,"Political Survey","White","Female","HS or Less","45-64","West","West::45-64::Female","Definitely will vote","Democratic Party",1.02854507353346,"Version B","1000","Version A","C","Poor","Get worse",NA,NA,NA
1412,"Political Survey","Other","Female","Post-Grad","18-34","Northeast","Northeast::18-34::Female","Likely will vote","Independent or another party",0.835146410561377,"Version B","100","Version A","B","Good","Stay about the same",NA,NA,NA
1413,"Coronavirus Survey","Hispanic","Female","Some College or Associate","35-44","West","West::35-44::Female","Definitely will vote","Independent or another party",1.46620890328124,"Version A","100","Version B","C","Only Fair","Don't know","Not too worried","Yes, changing routines or plans","Laid off"
1414,"Coronavirus Survey","Other","Female","College Grad","45-64","South","South::45-64::Female","Definitely will not vote","Independent or another party",0.768200184684871,"Version B","10","Version B","C","Poor","Get worse","Somewhat worried","Yes, changing routines or plans","Not changed"
1415,"Coronavirus Survey","Hispanic","Male","Some College or Associate","35-44","South","South::35-44::Male","Definitely will vote","Democratic Party",1.6658926272107,"Version B","100","Version A","A","Poor","Get worse","Very worried","Yes, changing routines or plans","Laid off"
1416,"Political Survey","White","Male","Some College or Associate","18-34","West","West::18-34::Male","Likely will not vote","Independent or another party",2.08733923128508,"Version B","100","Version A","B","Only Fair","Get worse",NA,NA,NA
1417,"Coronavirus Survey",NA,"Female","College Grad","65+","South","South::65+::Female","Definitely will vote","Democratic Party",0.729424313507075,"Version B","11111111110","Version B","B","Only Fair","Improve","Somewhat worried","Yes, changing routines or plans","Not changed"
1418,"Political Survey","Black or African American","Male","HS or Less","45-64","Midwest","Midwest::45-64::Male","Definitely will not vote","Independent or another party",1.22830051289913,"Version B","100","Version A","C","Poor","Get worse",NA,NA,NA
1419,"Coronavirus Survey","Black or African American","Female","Some College or Associate","45-64","Northeast","Northeast::45-64::Female","Definitely will vote","Independent or another party",0.674697756583281,"Version B","10000","Version B","C","Poor","Get worse","Somewhat worried","Yes, changing routines or plans","Working from home"
1420,"Political Survey","White","Male","HS or Less","35-44","Northeast","Northeast::35-44::Male","Definitely will vote","Democratic Party",0.853693467299892,"Version A","100","Version A","C","Poor","Get worse",NA,NA,NA
1421,"Coronavirus Survey","White","Female","Some College or Associate","45-64","Midwest","Midwest::45-64::Female","Definitely will vote","Republican Party",0.731414846446271,"Version A","100","Version B","A","Only Fair","Stay about the same","Not too worried","Yes, changing routines or plans","Working from home"
1422,"Coronavirus Survey","Black or African American","Female","College Grad","65+","Northeast","Northeast::65+::Female","Definitely will vote","Democratic Party",0.577795142516555,"Version A","400","Version A","A","Poor","Get worse","Somewhat worried","Yes, changing routines or plans","Not changed"
1423,"Coronavirus Survey","White","Female","Some College or Associate","65+","Northeast","Northeast::65+::Female","Definitely will vote","Independent or another party",0.734138950719982,"Version B","20","Version A","A","Good","Get worse","Not too worried","No, not changing routines or plans","Not changed"
1424,"Political Survey","Black or African American","Female","College Grad","45-64","Midwest","Midwest::45-64::Female","Definitely will vote","Democratic Party",0.575651169341564,"Version B","700","Version A","B","Poor","Don't know",NA,NA,NA
1425,"Political Survey","Black or African American","Female","Some College or Associate","18-34","South","South::18-34::Female","Definitely will vote","Democratic Party",0.882419231184232,"Version B","100","Version A","C","Good","Stay about the same",NA,NA,NA
1426,"Political Survey","White","Male","HS or Less","35-44","South","South::35-44::Male","Definitely will not vote","Republican Party",1.14132591733739,"Version B","100","Version B","C","Only Fair","Don't know",NA,NA,NA
1427,"Coronavirus Survey","Hispanic","Male","HS or Less","18-34","South","South::18-34::Male","Definitely will vote","Democratic Party",4.19513663274818,"Version B","10000000000","Version A","A","Only Fair","Stay about the same","Somewhat worried","Yes, changing routines or plans","Not changed"
1428,"Coronavirus Survey","White","Male","Some College or Associate","45-64","Northeast","Northeast::45-64::Male","Definitely will vote","Republican Party",0.785977552021026,"Version A","100","Version A","A","Good","Get worse","Somewhat worried","Yes, changing routines or plans","Working from home"
1429,"Political Survey","White","Female","Some College or Associate","45-64","Midwest","Midwest::45-64::Female","Definitely will vote","Democratic Party",0.731414846446271,"Version A","6","Version A","C","Poor","Get worse",NA,NA,NA
1430,"Coronavirus Survey","White","Male","College Grad","65+","Northeast","Northeast::65+::Male","Definitely will vote","Republican Party",0.51213780792872,"Version A","1","Version B","B","Poor","Get worse","Very worried","Yes, changing routines or plans","Other change"
1431,"Coronavirus Survey","White","Female","Some College or Associate","65+","South","South::65+::Female","Definitely will vote","Republican Party",0.861094997881394,"Version A","100","Version A","B","Only Fair","Improve","Somewhat worried","Yes, changing routines or plans","Not changed"
1432,"Political Survey","White","Male","Some College or Associate","45-64","West","West::45-64::Male","Definitely will vote","Independent or another party",0.862382516348869,"Version B","11111111110","Version A","A","Only Fair","Get worse",NA,NA,NA
1433,"Political Survey","White","Female","Post-Grad","45-64","West","West::45-64::Female","Definitely will vote","Democratic Party",0.775382588815518,"Version B","1000","Version B","C","Poor","Get worse",NA,NA,NA
1434,"Coronavirus Survey","Hispanic","Male","HS or Less","45-64","West","West::45-64::Male","Definitely will vote","Republican Party",1.94965943240579,"Version B","1000","Version B","C","Poor","Get worse","Very worried","Yes, changing routines or plans","Hours cut back"
1435,"Political Survey","Other","Male","College Grad","45-64","South","South::45-64::Male","Likely will not vote","Independent or another party",0.88263553492094,"Version A","100","Version A","A","Only Fair","Improve",NA,NA,NA
1436,"Coronavirus Survey","White","Female","Post-Grad","18-34","Northeast","Northeast::18-34::Female","Definitely will vote","Democratic Party",0.682043820176603,"Version A","100","Version B","C","Only Fair","Get worse","Someone in my family is already infected","Yes, changing routines or plans","Working from home"
1437,"Political Survey","Hispanic","Female","Some College or Associate","35-44","South","South::35-44::Female","Definitely will not vote","Independent or another party",1.49275481670529,"Version B","100000","Version B","C","Only Fair","Get worse",NA,NA,NA
1438,"Coronavirus Survey","Other","Male","College Grad","65+","Northeast","Northeast::65+::Male","Definitely will vote","Republican Party",0.627100545964473,"Version A","100","Version B","C","Good","Improve","Not too worried","No, not changing routines or plans","Not changed"
1439,"Political Survey","White","Female","HS or Less","45-64","South","South::45-64::Female","Definitely will vote","Republican Party",1.01141412338944,"Version A","10","Version A","B","Good","Get worse",NA,NA,NA
1440,"Coronavirus Survey","Black or African American","Male","Some College or Associate","65+","Midwest","Midwest::65+::Male","Definitely will vote","Democratic Party",0.937799601510908,"Version B","1000","Version A","B","Good","Improve","Somewhat worried","No, not changing routines or plans","Not changed"
1441,"Coronavirus Survey","White","Female","Post-Grad","18-34","Northeast","Northeast::18-34::Female","Likely will vote","Independent or another party",0.682043820176603,"Version A","100","Version A","A","Good","Improve","Very worried","Yes, changing routines or plans","Hours increased"
1442,"Coronavirus Survey","Other","Female","Some College or Associate","45-64","West","West::45-64::Female","Definitely will vote","Republican Party",1.01195902132169,"Version B","101010","Version A","C","Good","Improve","Not too worried","Yes, changing routines or plans","Not changed"
1443,"Political Survey","White","Male","HS or Less","45-64","Midwest","Midwest::45-64::Male","Definitely will vote","Independent or another party",1.20479958406647,"Version B","1000","Version A","B","Good","Improve",NA,NA,NA
1444,"Political Survey","Other","Male","College Grad","45-64","West","West::45-64::Male","Definitely will vote","Independent or another party",0.815184811339468,"Version A","10","Version A","C","Excellent","Improve",NA,NA,NA
1445,"Coronavirus Survey","White","Female","HS or Less","65+","West","West::65+::Female","Definitely will vote","Republican Party",1.07007412414965,"Version A","100","Version B","C","Only Fair","Stay about the same","Not too worried","Yes, changing routines or plans","Other change"
1446,"Coronavirus Survey","White","Male","College Grad","18-34","Northeast","Northeast::18-34::Male","Definitely will vote","Democratic Party",0.978985775668553,"Version A","100",NA,NA,"Poor","Get worse","Somewhat worried","Yes, changing routines or plans","Other change"
1447,"Political Survey","White","Female","HS or Less","65+","South","South::65+::Female","Definitely will vote","Republican Party",1.07167181532095,"Version B","20","Version A","B","Excellent","Improve",NA,NA,NA
1448,"Coronavirus Survey","White","Female","College Grad","45-64","South","South::45-64::Female","Likely will vote","Independent or another party",0.627370461031677,"Version A","100","Version B","B","Poor","Get worse","Somewhat worried","Yes, changing routines or plans","Not changed"
1449,"Coronavirus Survey","White","Female","Some College or Associate","18-34","West","West::18-34::Female","Definitely will vote","Republican Party",0.828730304826455,"Version A","100","Version B","C","Good","Get worse","Somewhat worried","Yes, changing routines or plans","Hours cut back"
1450,"Political Survey","White","Male","College Grad","45-64","South","South::45-64::Male","Definitely will vote","Independent or another party",0.720827036371313,"Version A","100","Version B","C","Poor","Stay about the same",NA,NA,NA
1451,"Coronavirus Survey","White","Female","HS or Less","45-64","Midwest","Midwest::45-64::Female","Definitely will vote","Republican Party",0.910278979871321,"Version A","100","Version B","A","Good","Get worse","Somewhat worried","Yes, changing routines or plans","Not changed"
1452,"Political Survey","Hispanic","Male","Some College or Associate","65+","South","South::65+::Male","Definitely will vote","Republican Party",1.87699454448342,"Version B","10000000000000000000000","Version A","C","Only Fair","Improve",NA,NA,NA
1453,"Political Survey","White","Male","HS or Less","45-64","Midwest","Midwest::45-64::Male","Definitely will vote","Republican Party",1.20479958406647,"Version A","100","Version A","A","Good","Stay about the same",NA,NA,NA
1454,"Coronavirus Survey","White","Female","Some College or Associate","65+","South","South::65+::Female","Definitely will vote","Independent or another party",0.861094997881394,"Version B","1000","Version A","A","Poor","Get worse","Somewhat worried","Yes, changing routines or plans","Working from home"
1455,"Coronavirus Survey","White","Male","Post-Grad","65+","Northeast","Northeast::65+::Male","Definitely will vote","Democratic Party",0.622421379549921,"Version B","10240","Version A","A","Poor","Get worse","Somewhat worried","Yes, changing routines or plans","Not changed"
1456,"Coronavirus Survey","White","Female","College Grad","18-34","West","West::18-34::Female","Definitely will not vote","Independent or another party",0.639762847105695,"Version B","100000","Version A","A","Good","Get worse","Somewhat worried","Yes, changing routines or plans","Laid off"
1457,"Political Survey","Hispanic","Male","Some College or Associate","65+","South","South::65+::Male","Definitely will vote","Democratic Party",1.87699454448342,"Version A","100","Version B","C","Poor","Get worse",NA,NA,NA
1458,"Political Survey","White","Female","Some College or Associate","65+","Midwest","Midwest::65+::Female","Definitely will vote","Republican Party",0.894046859124752,"Version A","100","Version A","C","Poor","Get worse",NA,NA,NA
1459,"Political Survey","Black or African American","Female","College Grad","18-34","South","South::18-34::Female","Definitely will vote","Democratic Party",0.681209600270939,"Version B","100","Version B","B","Poor","Get worse",NA,NA,NA
1460,"Political Survey","White","Male","College Grad","35-44","West","West::35-44::Male","Definitely will vote","Independent or another party",0.776652924335095,"Version A","10","Version B","C","Poor","Get worse",NA,NA,NA
1461,"Political Survey","White","Female","College Grad","65+","West","West::65+::Female","Definitely will vote","Democratic Party",0.663756695779641,"Version A","10000","Version B","B","Poor","Get worse",NA,NA,NA
1462,"Coronavirus Survey","White","Male","HS or Less","65+","Midwest","Midwest::65+::Male","Likely will vote","Independent or another party",1.14480353610126,"Version A","100","Version B","C","Only Fair","Stay about the same","Not too worried","Yes, changing routines or plans","Other change"
1463,"Coronavirus Survey","White","Female","HS or Less","45-64","Northeast","Northeast::45-64::Female","Definitely will vote","Democratic Party",0.823626259055456,"Version B","1000","Version A","B","Poor","Get worse","Not too worried","Yes, changing routines or plans","Laid off"
1464,"Political Survey","Other","Male","Some College or Associate","45-64","Northeast","Northeast::45-64::Male","Definitely will vote","Democratic Party",0.962410789356926,"Version B","50","Version A","B","Only Fair","Get worse",NA,NA,NA
1465,"Political Survey","White","Male","Some College or Associate","45-64","Midwest","Midwest::45-64::Male","Definitely will vote","Independent or another party",0.968063991660096,"Version B","10000000000","Version A","C","Excellent","Improve",NA,NA,NA
1466,"Political Survey","White","Male","Post-Grad","65+","West","West::65+::Male","Definitely will vote","Democratic Party",1.15005851916716,"Version B","10000","Version A","C","Poor","Get worse",NA,NA,NA
1467,"Coronavirus Survey","White","Female","Some College or Associate","35-44","Midwest","Midwest::35-44::Female","Definitely will not vote","Independent or another party",0.766679362353337,"Version A","100","Version A","A","Only Fair","Don't know","Very worried","Yes, changing routines or plans","Laid off"
1468,"Coronavirus Survey","White","Male","HS or Less","35-44","Midwest","Midwest::35-44::Male","Definitely will not vote","Independent or another party",1.05268981414682,"Version A","100","Version B","A","Poor","Get worse","Very worried","Yes, changing routines or plans","Working from home"
1469,"Political Survey","Black or African American","Female","Some College or Associate","45-64","Midwest","Midwest::45-64::Female","Definitely will not vote","Independent or another party",0.745681890094698,"Version B","100","Version A","A","Good","Don't know",NA,NA,NA
1470,"Coronavirus Survey","Hispanic","Male","Some College or Associate","45-64","South","South::45-64::Male","Definitely will vote","Republican Party",1.69618548133693,"Version B","1000","Version B","B","Poor","Improve","Not too worried","Yes, changing routines or plans","Not changed"
1471,"Coronavirus Survey","White","Male","HS or Less","45-64","Northeast","Northeast::45-64::Male","Likely will vote","Republican Party",0.978184743899664,"Version A","5","Version A","B","Only Fair","Get worse","Somewhat worried","Yes, changing routines or plans","Other change"
1472,"Political Survey","White","Male","Some College or Associate","65+","Northeast","Northeast::65+::Male","Definitely will vote","Independent or another party",0.663408517074768,"Version A","300","Version B","B","Only Fair","Get worse",NA,NA,NA
1473,"Political Survey","White","Male","College Grad","35-44","West","West::35-44::Male","Definitely will vote","Republican Party",0.776652924335095,"Version B","1","Version A","B","Poor","Get worse",NA,NA,NA
1474,"Political Survey","Other","Female","College Grad","18-34","West","West::18-34::Female","Definitely will vote","Republican Party",0.783374366228407,"Version A","100","Version A","A","Only Fair","Improve",NA,NA,NA
1475,"Coronavirus Survey","White","Female","HS or Less","45-64","Northeast","Northeast::45-64::Female","Definitely will vote","Independent or another party",0.823626259055456,"Version A","100","Version B","C","Poor","Get worse","Very worried","Yes, changing routines or plans","Other change"
1476,"Coronavirus Survey","White","Male","College Grad","45-64","South","South::45-64::Male","Likely will not vote","Republican Party",0.720827036371313,"Version A","100","Version A","A","Poor","Get worse","Somewhat worried","Yes, changing routines or plans","Working from home"
1477,"Coronavirus Survey","White","Female","Some College or Associate","35-44","South","South::35-44::Female","Likely will vote","Independent or another party",0.821751322763416,"Version A","100","Version B","B","Only Fair","Get worse","Not too worried","No, not changing routines or plans","Not changed"
1478,"Coronavirus Survey","White","Male","HS or Less","18-34","West","West::18-34::Male","Definitely will not vote","Independent or another party",2.59778843064426,"Version B","1000","Version A","A","Only Fair","Get worse","Somewhat worried","Yes, changing routines or plans","Changed, but now back to normal"
1479,"Coronavirus Survey","Hispanic","Female","Some College or Associate","18-34","West","West::18-34::Female","Definitely will not vote","Independent or another party",1.50543250739068,"Version A","100","Version A","A","Good","Don't know","Not worried at all","Yes, changing routines or plans","Not changed"
1480,"Political Survey","White","Male","Some College or Associate","45-64","Midwest","Midwest::45-64::Male","Definitely will vote","Independent or another party",0.968063991660096,"Version A","100","Version B","C","Poor","Get worse",NA,NA,NA
1481,"Political Survey","White","Female","Some College or Associate","45-64","South","South::45-64::Female","Definitely will vote","Republican Party",0.812677566010643,"Version A","100","Version A","C","Good","Improve",NA,NA,NA
1482,"Political Survey","White","Male","Some College or Associate","45-64","South","South::45-64::Male","Definitely will vote","(Vol. DK/Refuse)",0.933738513078202,"Version B","10","Version B","C","(Vol. DK/Refuse)","Improve",NA,NA,NA
1483,"Political Survey","White","Male","HS or Less","18-34","South","South::18-34::Male","Likely will vote","Democratic Party",2.30939404016988,"Version A","100","Version B","C","Good","Get worse",NA,NA,NA
1484,"Political Survey","White","Female","HS or Less","65+","Midwest","Midwest::65+::Female","Definitely will vote","Democratic Party",1.11268190252824,"Version A","200","Version A","B","Only Fair","Get worse",NA,NA,NA
1485,"Political Survey","White","Male","HS or Less","45-64","West","West::45-64::Male","Definitely will not vote","Independent or another party",1.0732741905022,"Version B","5120","Version B","C","Poor","Stay about the same",NA,NA,NA
1486,"Political Survey","White","Female","Some College or Associate","45-64","South","South::45-64::Female","Definitely will not vote","Republican Party",0.812677566010643,"Version B","100000","Version B","C","Poor","Get worse",NA,NA,NA
1487,"Coronavirus Survey","White","Female","Some College or Associate","45-64","Midwest","Midwest::45-64::Female","Likely will vote","Independent or another party",0.731414846446271,"Version B","100","Version A","B","Only Fair","Get worse","Somewhat worried","No, not changing routines or plans","Not changed"
1488,"Political Survey","White","Female","Some College or Associate","45-64","Northeast","Northeast::45-64::Female","Definitely will vote","Independent or another party",0.661788843988599,"Version B","10000","Version A","C","Only Fair","Get worse",NA,NA,NA
1489,"Political Survey","White","Female","College Grad","45-64","West","West::45-64::Female","Definitely will vote","Democratic Party",0.637996624777291,"Version A","100","Version B","C","Poor","Improve",NA,NA,NA
1490,"Coronavirus Survey","White","Male","Post-Grad","45-64","South","South::45-64::Male","Definitely will vote","Independent or another party",0.876049671493028,"Version A","100","Version B","C","Poor","Improve","Somewhat worried","No, not changing routines or plans","Not changed"
1491,"Political Survey","White","Male","College Grad","45-64","South","South::45-64::Male","Definitely will vote","Republican Party",0.720827036371313,"Version B","10000000000","Version A","B","Only Fair","Improve",NA,NA,NA
1492,"Coronavirus Survey","White","Male","Post-Grad","65+","West","West::65+::Male","Definitely will vote","Democratic Party",1.15005851916716,"Version B","1000000000","Version B","C","Only Fair","Get worse","Very worried","Yes, changing routines or plans","Working from home"
1493,"Political Survey","White","Male","College Grad","18-34","Midwest","Midwest::18-34::Male","Definitely will vote","Democratic Party",0.838333210595406,"Version B","12111111110","Version B","C","Poor","Get worse",NA,NA,NA
1494,"Political Survey","White","Female","Some College or Associate","65+","South","South::65+::Female","Definitely will vote","Republican Party",0.861094997881394,"Version A","100","Version A","A","Only Fair","Don't know",NA,NA,NA
1495,"Coronavirus Survey","Hispanic","Female","HS or Less","45-64","Northeast","Northeast::45-64::Female","Likely will vote","Democratic Party",1.49616073781966,"Version B","2000","Version A","B","Only Fair","Get worse","Somewhat worried","Yes, changing routines or plans","Other change"
1496,"Coronavirus Survey","Other","Female","College Grad","65+","South","South::65+::Female","Definitely will vote","Democratic Party",0.813967758025995,"Version B","1000","Version B","B","Poor","Get worse","Very worried","Yes, changing routines or plans","Not changed"
1497,"Coronavirus Survey","White","Male","Some College or Associate","18-34","Midwest","Midwest::18-34::Male","Likely will not vote","Independent or another party",1.08595261557615,"Version A","5","Version B","B","Good","Improve","Somewhat worried","No, not changing routines or plans","Laid off"
1498,"Political Survey","Other","Female","HS or Less","45-64","West","West::45-64::Female","Definitely will vote","Democratic Party",1.25942894114873,"Version A","100","Version B","C","Poor","Get worse",NA,NA,NA
1499,"Coronavirus Survey","Hispanic","Female","Some College or Associate","45-64","West","West::45-64::Female","Definitely will not vote","(Vol. DK/Refuse)",1.50127639154168,"Version A","100","Version A","A","Only Fair","Get worse","Somewhat worried","Yes, changing routines or plans","Working from home"
1500,"Political Survey","White","Female","HS or Less","45-64","Midwest","Midwest::45-64::Female","Definitely will vote","Independent or another party",0.910278979871321,"Version A","1000","Version A","C","Poor","Get worse",NA,NA,NA
1501,"Political Survey","White","Female","HS or Less","45-64","Midwest","Midwest::45-64::Female","Definitely will vote","Republican Party",0.910278979871321,"Version A","1000","Version A","C","Poor","Improve",NA,NA,NA
1502,"Political Survey","Hispanic","Female","College Grad","45-64","Midwest","Midwest::45-64::Female","Definitely will vote","Democratic Party",1.02569357787466,"Version A","200","Version A","B","Good","Stay about the same",NA,NA,NA
1503,"Political Survey","White","Female","HS or Less","35-44","South","South::35-44::Female","Likely will vote","Republican Party",1.02270682558252,"Version A","100","Version A","A","Only Fair","Get worse",NA,NA,NA
1504,"Coronavirus Survey","Hispanic","Female","Some College or Associate","65+","South","South::65+::Female","Definitely will vote","Republican Party",1.56422468710568,"Version B","100","Version B","C","Good","Improve","Somewhat worried","Yes, changing routines or plans","Not changed"
1505,"Political Survey","Black or African American","Male","Some College or Associate","35-44","South","South::35-44::Male","Definitely will vote","Democratic Party",0.934950807470605,"Version A","100","Version B","C","Only Fair","Get worse",NA,NA,NA
1506,"Political Survey","White","Female","College Grad","18-34","South","South::18-34::Female","Definitely will vote","Democratic Party",0.668176097339066,"Version B","10","Version B","C","Only Fair","Stay about the same",NA,NA,NA
1507,"Political Survey","Hispanic","Male","Some College or Associate","35-44","South","South::35-44::Male","Definitely will vote","Democratic Party",1.6658926272107,"Version B","1000","Version A","A","Poor","Get worse",NA,NA,NA
1508,"Coronavirus Survey","White","Female","Some College or Associate","65+","West","West::65+::Female","Definitely will vote","Democratic Party",0.859811243045167,"Version A","100","Version A","A","Good","Don't know","Very worried","Yes, changing routines or plans","Not changed"
1509,"Political Survey","Black or African American","Male","HS or Less","45-64","West","West::45-64::Male","Definitely will vote","Democratic Party",1.09420957320194,"Version A","10","Version B","B","Poor","Get worse",NA,NA,NA
1510,"Coronavirus Survey","White","Male","HS or Less","45-64","Midwest","Midwest::45-64::Male","Definitely will vote","Republican Party",1.20479958406647,"Version B","1280","Version A","C","Only Fair","Get worse","Somewhat worried","Yes, changing routines or plans","Hours cut back"
1511,"Coronavirus Survey","Hispanic","Male","HS or Less","45-64","South","South::45-64::Male","Definitely will vote","Democratic Party",2.11097983193228,"Version A","100","Version A","A","Only Fair","Get worse","Not worried at all","Yes, changing routines or plans","Laid off"
1512,"Political Survey","White","Female","Some College or Associate","65+","West","West::65+::Female","Definitely will vote","Democratic Party",0.859811243045167,"Version A","10000","Version A","C","Poor","Get worse",NA,NA,NA
1513,"Political Survey","White","Male","HS or Less","45-64","South","South::45-64::Male","Definitely will vote","Democratic Party",1.16207996772435,"Version A","100","Version A","A","Poor","Get worse",NA,NA,NA
1514,"Coronavirus Survey","White","Female","HS or Less","45-64","Midwest","Midwest::45-64::Female","Likely will vote","Republican Party",0.910278979871321,"Version A","100","Version A","B","Good","Stay about the same","Not too worried","Yes, changing routines or plans","Working from home"
1515,"Political Survey","White","Female","Some College or Associate","65+","West","West::65+::Female","Definitely will vote","Democratic Party",0.859811243045167,"Version A","4000","Version B","C","Poor","Get worse",NA,NA,NA
1516,"Political Survey","White","Male","College Grad","35-44","South","South::35-44::Male","Likely will vote","Republican Party",0.707953498363058,"Version B","300","Version B","A","Excellent","Stay about the same",NA,NA,NA
1517,"Coronavirus Survey","White","Female","HS or Less","18-34","South","South::18-34::Female","Likely will not vote","Independent or another party",1.07719885416449,"Version B","100",NA,NA,"Poor","Get worse","Not too worried","Yes, changing routines or plans","Other change"
1518,"Political Survey","White","Male","College Grad","35-44","South","South::35-44::Male","Likely will vote","Democratic Party",0.707953498363058,"Version A","100","Version B","B","Poor","Get worse",NA,NA,NA
1519,"Coronavirus Survey","White","Male","Post-Grad","45-64","West","West::45-64::Male","Definitely will vote","Republican Party",0.809102237475647,"Version A","100","Version A","A","Good","Improve","Not too worried","Yes, changing routines or plans","Not changed"
1520,"Coronavirus Survey","Black or African American","Male","Some College or Associate","35-44","South","South::35-44::Male","Definitely will vote","Democratic Party",0.934950807470605,"Version B","1000","Version B","C","Only Fair","Improve","Not worried at all","Yes, changing routines or plans","Not changed"
1521,"Coronavirus Survey","White","Female","HS or Less","45-64","Northeast","Northeast::45-64::Female","Definitely will vote","Republican Party",0.823626259055456,"Version B","1000","Version B","C","Poor","Get worse","Very worried","Yes, changing routines or plans","Not changed"
1522,"Coronavirus Survey","White","Male","College Grad","45-64","South","South::45-64::Male","Definitely will vote","Independent or another party",0.720827036371313,"Version B","10000000000","Version B","C","Only Fair","Get worse","Not worried at all","Yes, changing routines or plans","Hours cut back"
1523,"Political Survey","White","Male","College Grad","45-64","Midwest","Midwest::45-64::Male","Definitely will vote","Republican Party",0.747325603852101,"Version B","1","Version A","C","Good","Stay about the same",NA,NA,NA
1524,"Political Survey","Black or African American","Female","HS or Less","35-44","South","South::35-44::Female","Likely will vote","Democratic Party",1.04265583672308,"Version B","10","Version A","B","Good","Improve",NA,NA,NA
1525,"Political Survey","Black or African American","Female","HS or Less","35-44","South","South::35-44::Female","Definitely will vote","Democratic Party",1.04265583672308,"Version B","10","Version A","B","Poor","Get worse",NA,NA,NA
1526,"Political Survey","Hispanic","Male","College Grad","18-34","South","South::18-34::Male","Definitely will vote","Republican Party",2.60220293795987,"Version B","10000000000","Version B","C","Poor","Get worse",NA,NA,NA
1527,"Coronavirus Survey","White","Female","HS or Less","18-34","Northeast","Northeast::18-34::Female","Definitely will not vote","Independent or another party",0.904731188571337,"Version B","200","Version B","A","Good","Get worse","Not too worried","No, not changing routines or plans","Not changed"
1528,"Political Survey","Other","Male","Post-Grad","65+","West","West::65+::Male","Likely will not vote","Republican Party",1.4082192607057,"Version B","20000","Version A","C","Good","Improve",NA,NA,NA
1529,"Political Survey","White","Male","HS or Less","65+","South","South::65+::Male","Definitely will vote","Republican Party",1.2859547400163,"Version A","100","Version B","C","Good","Improve",NA,NA,NA
1530,"Coronavirus Survey","White","Female","HS or Less","65+","Northeast","Northeast::65+::Female","Definitely will not vote","Independent or another party",0.913669251303991,"Version B","1000","Version A","A","Poor","Get worse","Somewhat worried","Yes, changing routines or plans","Other change"
